"Date","Price","Open","High","Low","Vol.","Change %"
"08/05/2015","781.34","780.95","785.62","777.14","416.70M","-0.13%"
"08/06/2015","788.03","784.16","790.30","783.25","427.11M","0.86%"
"08/07/2015","784.27","790.04","791.24","781.74","367.45M","-0.48%"
"08/10/2015","774.95","785.92","787.59","773.10","411.88M","-1.19%"
"08/11/2015","797.20","785.17","799.09","785.17","506.84M","2.87%"
"08/12/2015","781.75","788.87","790.63","780.85","422.70M","-1.94%"
"08/13/2015","770.86","782.35","782.35","758.02","654.19M","-1.39%"
"08/14/2015","773.09","767.80","776.99","764.84","502.05M","0.29%"
"08/17/2015","769.22","773.58","775.70","763.69","458.44M","-0.50%"
"08/18/2015","759.60","764.29","768.95","759.60","467.24M","-1.25%"
"08/19/2015","753.00","763.23","766.47","751.88","496.06M","-0.87%"
"08/20/2015","746.82","750.87","750.87","736.97","567.17M","-0.82%"
"08/21/2015","737.98","743.92","746.23","735.20","428.67M","-1.18%"
"08/24/2015","713.42","726.39","726.39","697.97","569.67M","-3.33%"
"08/25/2015","735.10","721.91","737.78","719.97","565.70M","3.04%"
"08/26/2015","736.16","733.76","741.41","727.70","583.49M","0.14%"
"08/27/2015","748.13","745.89","751.58","744.76","476.72M","1.63%"
"08/28/2015","746.42","749.82","751.57","740.20","413.32M","-0.23%"
"08/31/2015","752.10","745.49","753.21","745.26","379.01M","0.76%"
"09/01/2015","735.70","748.44","748.99","733.75","531.56M","-2.18%"
"09/02/2015","736.56","738.73","742.61","734.34","450.99M","0.12%"
"09/03/2015","740.04","740.32","743.98","732.91","466.25M","0.47%"
"09/04/2015","729.50","734.28","739.98","728.96","467.91M","-1.42%"
"09/07/2015","718.66","724.35","724.35","715.57","323.69M","-1.49%"
"09/08/2015","720.52","723.75","726.29","715.95","382.57M","0.26%"
"09/09/2015","720.03","727.88","728.96","719.92","385.91M","-0.07%"
"09/10/2015","718.47","717.43","719.54","712.63","420.70M","-0.22%"
"09/11/2015","713.51","719.72","719.94","713.50","338.59M","-0.69%"
"09/14/2015","712.99","716.26","716.82","710.50","441.28M","-0.07%"
"09/15/2015","731.73","714.90","731.96","713.08","627.21M","2.63%"
"09/16/2015","741.49","732.99","743.78","730.13","507.52M","1.33%"
"09/17/2015","749.81","740.53","749.81","738.46","489.92M","1.12%"
